crop,ph_min,ph_max,water_need,base_yield,base_price,carbon_footprint,crop_hi,crop_ta,crop_te,crop_ml,climate_zone,season
Blackberry,5.0,6.0,High,10000,18,High,ब्लैकबेरी,பிளாக்பெரி,బ్లాక్‌బెర్రీ,ബ്ലാക്‌ബെറി,Temperate,Winter
Apple,6.0,7.0,Medium,20000,30,Medium,सेब,ஆப்பிள்,సేపు,ആപ്പിൾ,Temperate,Winter
Banana,5.0,6.5,High,30000,15,High,केला,வாழைப்பழம்,అరటి,വാഴപ്പഴം,Tropical,Rainy / Monsoon
Orange,5.5,6.5,Medium,25000,20,Medium,संतरा,செரம,సంత్రా,ഓറഞ്ച്,Tropical,Rainy / Monsoon
Grapes,5.5,6.5,Medium,18000,28,Medium,अंगूर,திராட்சை,ద్రాక్ష,ദ്രാക്ഷ,Tropical,Winter
Mango,5.5,6.5,Medium,22000,25,Medium,आम,மாம்பழம்,మామిడి,മാങ്ങ,Tropical,Rainy / Monsoon
Pineapple,4.5,5.5,High,15000,12,High,अनानास,அன்னாசிப்பழம்,అన్నాస,അന്നാസ,Tropical,Rainy / Monsoon
Coconut,5.0,8.0,High,10000,10,High,नारियल,தேங்காய்,కొబ్బరి,തേങ്ങ,Tropical,Rainy / Monsoon
Tea,4.5,5.5,High,2000,100,High,चाय,தேயிலை,చాయ్,ചായ,Tropical,Rainy / Monsoon
Coffee,6.0,6.5,High,1500,120,High,कॉफी,காபி,కాఫీ,കാപ്പി,Tropical,Rainy / Monsoon
Sugarbeet,6.0,7.5,High,40000,4,High,चुकंदर,சுக்கந்தர்,సుగర్ బీట్,ഷുഗര് ബീറ്റ്,Temperate,Winter
Tobacco,5.5,6.5,Medium,2500,50,Very High,तंबाकू,புகையிலை,తమాకూ,പുകവലി,Tropical,Rainy / Monsoon
Almond,6.0,7.0,Low,2000,150,Low,बादाम,பாதாம்,బాదం,ബദാം,Temperate,Winter
Walnut,6.0,7.0,Low,1800,130,Low,अखरोट,வால்நட்,వాల్‌నట్,വാൾനട്ട്,Temperate,Winter
Pistachio,6.0,7.5,Low,1500,140,Low,पिस्ता,பிஸ்தா,పిస్తా,പിസ്റ്റ,Temperate,Winter
Hazelnut,6.0,7.5,Low,1600,120,Low,हाज़लनट,ஹேஸ்ல்நட்,హెజ్‌ల్‌నట్,ഹേസിൽനട്ട്,Temperate,Winter
Chestnut,5.5,6.5,Medium,2000,110,Medium,शाहबलूत,செஸ்ட்நட்,చెస్ట్నట్,ചെസ്റ്റ്‌നട്ട്,Temperate,Winter
Olive,6.0,8.0,Low,3000,80,Low,जैतून,ஒலிவ்,ఓలివ్,ഓലിവ്,Temperate,Winter
Avocado,6.0,6.5,High,4000,90,High,एवोकाडो,அவோகாடோ,అవోకాడో,അവോകാഡോ,Tropical,Rainy / Monsoon
Peach,6.0,7.0,Medium,5000,70,Medium,आड़ू,பீச்,పీచ్,പീച്ച്,Temperate,Winter
Pear,6.0,7.5,Medium,4000,60,Medium,नाशपाती,பியார்,పియర్,പിയർ,Temperate,Winter
Plum,5.5,6.5,Medium,3500,55,Medium,आलूबुखारा,பிளம்,ప్లమ్,പ്ലം,Temperate,Winter
Cherry,6.0,7.0,Medium,3000,75,Medium,चेरी,செர்ரி,చెర్రీ,ചെറി,Temperate,Winter
Apricot,6.0,7.5,Medium,2500,65,Medium,खुबानी,அப்ரிகாட்,అప్రికాట్,ആപ്രിക്കോട്ട്,Temperate,Winter
Fig,6.0,8.0,Low,2000,85,Low,अंजीर,அத்தி பழம்,అప్పుళ్లు,അത്തിപഴം,Temperate,Winter
Pomegranate,5.5,7.0,Low,2200,95,Low,अनार,மாதுளை,దానిమ్మ,മത്തളി,Temperate,Winter
Cranberry,4.0,5.5,High,10000,40,High,क्रैनबेरी,கிரேன் பெர்ரி,క్రాన్బెర్రీ,ക്രാൻബെറി,Temperate,Winter
Rye,5.5,7.0,Medium,2800,17,Medium,राई,ராய்,రై,റൈ,Temperate,Winter
Oats,6.0,7.5,Medium,3000,16,Medium,जई,ஓட்ஸ்,ఓట్స్,ഓട്സ്,Temperate,Winter
Quinoa,6.0,8.0,Low,1500,70,Low,क्विनोआ,கினோவா,క్వినోవా,ക്വിനോവ,Temperate,Winter
Buckwheat,5.5,7.0,Low,2000,60,Low,कुट्टू,பக்க்வீட்,బక్‌వీటు,ബക്ക്വീറ്റ്,Temperate,Winter
Chia,6.0,7.5,Low,1200,90,Low,चिया,சியா,చియా,ചിയ,Temperate,Winter
Flax,6.0,7.5,Medium,2500,30,Medium,अलसी,பழுப்பு வேர்க்கடலை,ఫ్లాక్స్,ഫ്ലാക്സ്,Temperate,Winter
Hemp,6.0,7.5,Medium,2000,25,Medium,भांग,ஹேம்ப்,హెంప్,ഹെംപ്,Temperate,Winter
Saffron,6.0,8.0,Low,500,200,Very High,केसर,சைப்ரன்,సాఫ్రాన్,സാഫ്രാൻ,Temperate,Winter
Vanilla,5.0,6.0,High,300,250,High,वनीला,வனிலா,వానిల్లా,വനില, Tropical,Rainy / Monsoon
Cocoa,5.0,6.5,High,1000,150,High,कोको,கோகோ,కోకో,കോക്കോ,Tropical,Rainy / Monsoon
Rubber,4.5,6.0,High,800,180,Very High,रबर,ரப்பர்,రబ్బర్,റബ്ബർ,Tropical,Rainy / Monsoon
